"Station order","Station name",Type,Partner,Address,"Scheduled dates",Summary,"Gigi before","Gigi after","Message to public"
0,Bürgenstock,Non-research,"Bürgenstock Resort Lake Lucerne",Bürgenstock,10.07.2026,"Der Bürgenstock ist ein bekannter Standort mit langer Historie und hohem Bekanntheitsgrad. Hier kann die TdSR starten und enden. Somit wird die Story zu einem geschlossenen Kreis","Wenn die Reise hier beginnt, gibt es keine Verbindung zur vorherigen Station. Wenn die Reise hier endet, kann Bezug genommen auf verschiedene Erlebnisse während der Reise und wir können ein paar Highlights hiervon herauspicken.","Gigi lernt, dass es unterschiedliche Fähigkeiten braucht, wenn er in der Küche, dem Gym oder dem Spa unterstüzen will. Somit: Er lernt, dass es ganz viele unterschiedliche Fähigkeiten benötigt, um situativ mit Meschen zu interagieren","Je nach Situation braucht es andere Fähigkeiten, um mit Menschen zu interagieren"
10,Lindt,Non-research,"Lindt & Sprüngli",Kilchberg,07.07.2026,"Gigi visits the Lindt Home of Chocolate and connects Swiss chocolate craft to questions about movement, texture, and public conversation.","Gigi has learned that objects require care, but still needs to connect physical care with social and cultural meaning.","Gigi learns that cultural knowledge helps physical and social skills make sense in everyday human life.","A cultural stop can connect robotics to Swiss craft by letting Gigi ask human-scale questions."
20,Paradeplatz,Non-research,,Zürich,10.07.2026,,"Gigi wants to know something about economics in Switzerland","Gigi learned, ttha in Switzerland all areas (economy, nature, culture, products) are high-level",
30,Rinspeed,Non-research,,Zumikon,06.07.2026,,,,
40,ETH,Research,"ETH Zurich",Zürich,06.07.2026,"Gigi visits ETH Zurich's Soft Robotics Lab to understand how soft materials, artificial muscles, biohybrid systems, and dexterous manipulation all point toward robots that can adapt safely to complex real-world environments.","Gigi can walk, talk, and gesture, but his default hands cannot move their fingers independently. He still treats touch mostly as rigid contact instead of adaptive, careful manipulation.","Gigi learns that dexterity is not just grabbing. It combines compliant structures, sensing, control, and purposeful finger movement. After seeing the lab's broader work and a filmable platform such as Helios, Gigi is ready to exchange his default hands for advanced hands with movable fingers.","Robotic usefulness starts with the body: flexible materials, bioinspired structures, and dexterous hands let a robot handle the world with care instead of force."
50,Anybotics,Non-research,,Zürich,06.07.2026,,,,
60,Rheinfall,Non-research,,Schaffhausen,10.07.2026,"A public landscape station at Europe's largest waterfall, showing that Switzerland is more than mountains.","After history and human-made interiors, the Rheinfall returns the story to public landscape and natural force.","Gigi learns that places shape human behaviour through scale, sound, risk, and shared attention.","Swiss public places combine natural spectacle with human coordination and safety."
70,Quantum,Research,"Quantum Basel",Basel,09.07.2026,,,,
80,Emmentaler,Non-research,"Emmentaler Schaukäserei","Affoltern i.E.",09.07.2026,"Gigi visits the Emmentaler Schaukäserei and compares cheese-making craft with chocolate-making craft.","This can directly follow Lindt by asking whether cheese has an equivalent process to chocolate conching.","Gigi learns that cheese production is still strongly shaped by manual work, strength, material knowledge, and tradition.","Cultural stops show that technical processes matter because people give them purpose, taste, memory, and identity."
90,EPFL,Research,EPFL,Lausanne,22.06.2026,"Gigi learns that safe movement is also a form of communication.","After learning about touch, Gigi understands that objects require care. But people are more complex than objects: they move, react, judge, and communicate through subtle spatial behaviour.","Gigi learns that safe movement is also a form of communication. 
Gigi perceives humans around him, is able to acknowledge people joining his vicinity, say goodbye to people leaving and comment on people in vicinity such as ""are you on your own?"" (one person), ""you two seem busy"" (two interacting, detecting their interaction/intents), ...
In the future, this will enable him, e.g., to safely navigate a crowd.","For robots to operate in public or semi-public spaces, navigation accounts for human comfort, not only geometry."
100,"Schloss Oberhofen",Non-research,"Schloss Oberhofen",Oberhofen,09.07.2026,"Gigi visits Schloss Oberhofen to look backward and ask what has changed over the last 125 years.","After watchmaking and time, Schloss Oberhofen can turn time into lived history and social memory.","Gigi learns that technology is part of a longer human story of change, memory, and adaptation.","Robotics should be seen in the long arc of human change, not only as a current technical novelty."
110,"Furka-Pass / Belvedere",Non-research,,Furka,22.06.2026,"A mountain-pass station where Gigi hears the story of the Furkapass and the iconic Hotel Belvédère.","After the Rheinfall, the route moves from water and public tourism into alpine road history.","Gigi learns that infrastructure, tourism, climate, and memory all shape how humans move through mountains.","Swiss landscapes are also human-built routes, histories, and stories."
120,Tremola,Non-research,,Gotthard,23.06.2026,"A dramatic road station on the old Gotthard road, useful for drone shots and international visual recognition.","After the Furkapass, the Tremola continues the road-history theme with an even more graphic route image.","Gigi learns that good movement sometimes means adapting to constraints rather than forcing a direct path.","Swiss mobility is shaped by careful adaptation to landscape."
130,SUPSI,Research,SUPSI,Lugano,23.06.2026,"Gigi learns that helping is not taking over; helping is making the human more capable.","Gigi has learned to touch objects carefully and move among people safely. It may still assume that helping means doing a task alone, faster, or more mechanically.","Gigi learns that helping is not taking over; helping is making the human more capable.
Gigi learns to detect how he can make himself useful by supporting humans in their tasks.","Human-robot collaboration is valuable when it respects human judgment and combines machine precision with human flexibility."
140,"Swiss Miniature",Non-research,Swissminiatur,Melide,23.06.2026,"A miniature-Switzerland station near the end of the tour where Gigi can briefly review where it has travelled.","After multiple real places, Swissminiatur can compress the route into a small-scale review.","Gigi learns that humans use models to remember, explain, and connect complex places.","A journey becomes meaningful when its individual stops can be remembered as one connected story."
150,Migros,Non-research,Migros,"Migros Appenzell",07.07.2026,"Gigi besucht eine Migros-Filiale in Appenzell als nahbaren Ort des Alltags. Er lernt, Kundinnen und Kunden in stressigen Situationen zu entlasten, Entscheidungen zu strukturieren und den menschlichen Kontakt mit Mitarbeitenden zu staerken.","Vor der Migros-Station versteht Gigi Unterstuetzung noch zu stark als sachliche Produktsuche oder technische Aufgabe. Er muss lernen, dass Menschen beim Einkaufen oft gestresst sind, wenig Zeit haben und sich nicht nur korrekte Informationen, sondern auch Aufmerksamkeit, Wiedererkennung und menschliches Vertrauen wuenschen.","Gigi lernt, dass hilfreiche Robotik im Alltag nicht Mitarbeitende ersetzt, sondern kleine Belastungen reduziert und den menschlichen Kontakt unterstuetzt. Er erkennt, wie wichtig sichtbare Alltagssignale, Mimik, Gewohnheiten, Regionalitaet und persoenliche Erinnerungen sind, damit sich Menschen intuitiv verstanden fuehlen.","Gute Unterstuetzung im Alltag ist praktisch, persoenlich und menschlich eingebettet: Gigi hilft nicht anstelle der Mitarbeitenden, sondern macht den Einkauf ruhiger, verstaendlicher und aufmerksamer."
160,ZHAW,Research,"ZHAW Zurich University of Applied Sciences",Winterthur,06.07.2026,"Gigi learns that understanding humans means responding to context, not only instructions.","Gigi has learned separate capabilities: touch, navigation, and collaboration. But it may still treat interaction as a checklist.","Gigi learns that understanding humans means responding to context, not only to instructions.
Learns to use arms for supporting gestures, greet, wave good bye and knows when to do these appropriately. Possibly facial detection for mood detection?","Social intelligence allows robotic assistance to feel appropriate, respectful, and trustworthy in real human situations."
170,Jasmin,Non-research,,Schlieren,08.06.2026,,,,
180,FMR,Non-research,,Wallisellen,"16.06.2026 / 01.07.2026",,,,
